assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
25,4,17,,0,81,8,Niinimaa,0,89,8459458,14,33,0.4074,D,2,14,19992000,2,2,0.06015,L,133,Janne Niinimaa,EDM,1467.7901
25,5,16,,2,51,8,Timonen,0,26,8459670,-5,33,0.64705,D,2,16,19992000,1,1,0.08247,L,97,Kimmo Timonen,NSH,1265.647
25,7,29,0.4,5,69,8,Zubrus,0,42,8464977,29,33,0.47826,C,1,4,19971998,0,0,0.0792,L,101,Dainius Zubrus,PHI,921.4347
26,3,16,,2,81,7,Zhitnik,0,96,8458595,-6,33,0.4074,D,3,16,19981999,1,1,0.03783,L,185,Alexei Zhitnik,BUF,1538.8148
27,3,16,,0,77,6,Desjardins,0,36,8446407,11,33,0.42857,D,2,16,19971998,1,1,0.04,R,150,Eric Desjardins,PHI,1406.7792
27,4,16,,1,76,6,Olausson,0,42,8449971,13,33,0.43421,D,2,16,19971998,0,1,0.06741,R,89,Fredrik Olausson,PIT,1251.5657
12,19,29,,2,78,20,MacTavish,0,91,8449020,-14,32,0.41025,C,1,3,19931994,0,0,0.16393,L,122,Craig MacTavish,"EDM,NYR",
12,13,23,,3,73,20,Richer,1,30,8450825,-8,32,0.43835,R,3,4,19951996,4,5,0.10416,R,192,Stephane Richer,NJD,
14,15,25,,1,83,18,Fitzgerald,0,54,8446830,-3,32,0.38554,R,0,3,19931994,3,4,0.125,R,144,Tom Fitzgerald,FLA,
14,17,29,,1,81,18,Mullen,0,28,8449742,5,32,0.39506,R,1,2,19921993,0,1,0.14285,L,126,Brian Mullen,NYI,
14,14,23,,4,46,18,Sanderson,1,24,8457921,-10,32,0.69565,L,4,9,19941995,0,0,0.10588,L,170,Geoff Sanderson,HFD,
15,11,22,,1,63,17,Rice,0,36,8450812,-10,32,0.50793,R,6,10,19931994,0,0,0.13178,R,129,Steven Rice,EDM,
15,17,31,,2,78,17,Nemchinov,0,38,8457491,9,32,0.41025,L,0,1,19951996,0,0,0.14406,L,118,Sergei Nemchinov,NYR,
16,13,26,,1,72,16,Lacroix,0,110,8456933,-11,32,0.44444,L,3,6,19951996,0,0,0.14953,L,107,Eric Lacroix,LAK,
16,15,30,0.50084,6,81,16,Bonk,0,48,8460105,15,32,0.39506,C,0,0,19981999,1,2,0.14545,L,110,Radek Bonk,OTT,824.2592
16,14,30,0.25,3,68,16,Yachmenev,0,12,8460551,5,32,0.47058,R,1,1,19992000,1,1,0.13333,L,120,Vitali Yachmenev,NSH,925.7058
16,15,30,0.54385,4,74,16,Modin,0,32,8460556,-5,32,0.43243,L,1,2,19971998,0,0,0.11678,L,137,Freddy Modin,TOR,693.2567
17,13,29,,2,57,15,Dalgarno,0,62,8446289,17,32,0.5614,R,2,3,19921993,0,0,0.24193,R,62,Brad Dalgarno,NYI,
17,14,27,,3,50,15,Leeman,0,24,8448754,14,32,0.64,R,1,5,19921993,0,0,0.17647,R,85,Gary Leeman,"CGY,MTL",
17,9,23,,3,69,15,Mellanby,0,147,8449545,-4,32,0.46376,R,6,9,19921993,0,0,0.13157,R,114,Scott Mellanby,EDM,
17,14,26,,2,79,15,Presley,0,96,8450523,5,32,0.40506,R,0,2,19921993,1,4,0.15463,R,97,Wayne Presley,BUF,
17,10,23,,2,73,15,Primeau,0,152,8450550,-6,32,0.43835,C,4,8,19921993,1,1,0.2,L,75,Keith Primeau,DET,
17,8,20,0.25,2,58,15,Sandstrom,0,42,8451122,-5,32,0.55172,R,7,12,19981999,0,0,0.14018,L,107,Tomas Sandstrom,ANA,1041.6206
17,11,27,,2,79,15,Grier,0,45,8459640,7,32,0.40506,R,4,5,19961997,0,0,0.16853,R,89,Mike Grier,EDM,
18,7,18,0.6129,1,49,14,Adams,0,20,8444894,11,32,0.65306,L,7,14,19971998,0,0,0.18666,L,75,Greg Adams,DAL,884.653
18,10,20,,2,60,14,Huffman,0,41,8448048,1,32,0.53333,D,4,11,19911992,0,1,0.11382,L,123,Kerry Huffman,PHI,
18,6,16,,3,52,14,Nieuwendyk,0,41,8449893,-17,32,0.61538,C,8,16,19951996,0,0,0.10144,L,138,Joe Nieuwendyk,DAL,
18,14,30,,4,82,14,Podein,0,41,8457704,7,32,0.39024,L,0,1,19961997,0,1,0.0915,L,153,Shjon Podein,PHI,
18,13,29,0.39688,1,76,14,McAmmond,0,72,8458536,11,32,0.42105,C,1,2,19992000,0,1,0.11864,L,118,Dean McAmmond,CHI,985.25
18,10,26,,3,74,14,York,1,24,8462824,1,32,0.43243,C,3,5,19961997,1,1,0.16279,L,86,Harry York,STL,
19,13,28,0.52258,1,80,13,Fitzgerald,0,48,8446830,-18,32,0.4,R,0,2,19981999,0,2,0.07222,R,180,Tom Fitzgerald,NSH,1036.725
19,12,29,,2,77,13,Gilbert,0,57,8447169,5,32,0.41558,L,0,2,19921993,1,1,0.18055,L,72,Greg Gilbert,CHI,
19,6,20,,1,51,13,Muller,0,57,8449740,-13,32,0.62745,L,7,11,19951996,0,1,0.12745,L,102,Kirk Muller,"NYI,TOR",
