assists,gamesPlayed,gamesStarted,fullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
1,72,71,Andrew Raycroft,0,205,2.99393,Raycroft,25,9.0,8,8467453,1,0.89383,1726.0,20062007,L,1931.0,2,TOR,,246498,37
1,55,55,Andy Moog,0,168,3.15609,Moog,14,,14,8449681,1,0.87619,1189.0,19921993,L,1357.0,3,BOS,3.0,191629,37
1,53,52,Igor Shesterkin,0,106,2.0713,Shesterkin,13,4.0,2,8478048,1,0.93464,1516.0,20212022,L,1622.0,6,NYR,,184232,36
1,54,54,Tim Thomas,0,114,2.09892,Thomas,11,7.0,6,8460703,1,0.9327,1580.0,20082009,L,1694.0,5,BOS,,195529,36
2,58,58,Tuukka Rask,0,115,2.03753,Rask,15,6.0,2,8471695,2,0.92992,1526.0,20132014,L,1641.0,7,BOS,,203187,36
2,58,55,Devan Dubnyk,0,115,2.07319,Dubnyk,14,4.0,2,8471227,2,0.92923,1510.0,20142015,L,1625.0,6,"ARI,MIN",,199692,36
4,68,67,Henrik Lundqvist,0,152,2.2762,Lundqvist,27,5.0,6,8468685,4,0.92264,1813.0,20102011,L,1965.0,11,NYR,,240400,36
0,68,67,Ilya Bryzgalov,0,168,2.48284,Bryzgalov,20,10.0,2,8468524,0,0.92094,1957.0,20102011,L,2125.0,7,PHX,,243592,36
2,61,60,Tomas Vokoun,0,160,2.66603,Vokoun,18,7.0,26,8460712,2,0.91935,1824.0,20052006,R,1984.0,4,NSH,,216051,36
2,56,53,Jean-Sebastien Giguere,0,122,2.25603,Giguere,10,8.0,0,8462044,2,0.91812,1368.0,20062007,L,1490.0,4,ANA,,194678,36
1,65,62,Marc-Andre Fleury,0,143,2.32195,Fleury,20,5.0,10,8470594,1,0.91791,1599.0,20102011,L,1742.0,3,PIT,,221710,36
1,72,71,Jonathan Quick,0,156,2.23696,Quick,22,13.0,18,8471734,1,0.91772,1740.0,20142015,L,1896.0,6,LAK,,251055,36
1,60,60,Frederik Andersen,0,162,2.76903,Andersen,16,7.0,2,8475883,1,0.91726,1796.0,20182019,L,1958.0,1,TOR,,210615,36
1,63,63,Curtis Joseph,0,158,2.49402,Joseph,20,,14,8448382,1,0.91477,1696.0,19992000,L,1854.0,4,TOR,7.0,228065,36
2,58,58,Sergei Bobrovsky,0,135,2.37242,Bobrovsky,17,4.0,4,8475683,2,0.91477,1449.0,20232024,L,1584.0,6,FLA,,204854,36
0,66,66,Ed Giacomin,0,160,2.44109,Giacomin,20,,4,8449979,0,0.91475,1717.0,19671968,L,1877.0,8,NYR,10.0,235960,36
5,67,66,Patrick Roy,0,155,2.36366,Roy,22,,4,8451033,5,0.91417,1651.0,19911992,L,1806.0,5,MTL,8.0,236074,36
1,60,60,Patrick Lalime,0,141,2.34545,Lalime,19,,2,8459579,1,0.91402,1499.0,20002001,L,1640.0,7,OTT,5.0,216419,36
1,55,55,Igor Shesterkin,0,141,2.58155,Shesterkin,17,2.0,6,8478048,1,0.91282,1466.0,20232024,L,1606.0,4,NYR,,196626,36
3,71,71,Curtis Joseph,0,213,3.09694,Joseph,23,,4,8448382,3,0.91057,2169.0,19931994,L,2382.0,1,STL,11.0,247599,36
1,76,75,Ryan Miller,0,197,2.64175,Miller,27,10.0,6,8468011,1,0.90636,1907.0,20072008,L,2104.0,3,BUF,,268458,36
0,59,57,Stuart Skinner,0,147,2.62394,Skinner,16,5.0,0,8479973,0,0.90534,1406.0,20232024,L,1553.0,2,EDM,,201681,36
1,73,72,Tommy Salo,0,179,2.461,Salo,25,,4,8459541,1,0.90355,1677.0,20002001,L,1856.0,8,EDM,12.0,261844,36
1,62,62,Martin Jones,0,176,2.9356,Jones,19,5.0,2,8474889,1,0.8964,1523.0,20182019,L,1699.0,3,SJS,,215833,36
3,57,55,Tim Thomas,0,112,1.99764,Thomas,11,9.0,13,8460703,3,0.93815,1699.0,20102011,L,1811.0,9,BOS,,201838,35
2,69,69,Jonathan Quick,0,133,1.94661,Quick,21,13.0,6,8471734,2,0.9286,1730.0,20112012,L,1863.0,10,LAK,,245966,35
1,61,60,Ben Bishop,0,123,2.05878,Bishop,21,4.0,4,8471750,1,0.92643,1549.0,20152016,L,1672.0,6,TBL,,215078,35
1,58,58,Corey Crawford,0,131,2.36558,Crawford,18,5.0,2,8470645,1,0.92374,1587.0,20152016,L,1718.0,7,CHI,,199359,35
4,52,51,Frederik Andersen,0,111,2.16875,Andersen,14,3.0,0,8475883,4,0.92243,1320.0,20212022,L,1431.0,4,CAR,,184253,35
0,58,57,Jean-Sebastien Giguere,0,117,2.12064,Giguere,17,6.0,4,8462044,0,0.92241,1391.0,20072008,L,1508.0,4,ANA,,198619,35
2,62,60,Roberto Luongo,0,141,2.34879,Luongo,19,6.0,4,8466141,2,0.92171,1660.0,20152016,L,1801.0,4,FLA,,216111,35
1,59,57,Roman Cechmanek,0,115,2.01079,Cechmanek,15,,4,8468651,1,0.92144,1349.0,20002001,L,1464.0,10,PHI,6.0,205889,35
1,73,72,Henrik Lundqvist,0,167,2.38354,Lundqvist,27,10.0,0,8468685,1,0.92081,1942.0,20092010,L,2109.0,4,NYR,,252229,35
1,58,58,Marc-Andre Fleury,0,132,2.28733,Fleury,17,6.0,2,8470594,1,0.92072,1533.0,20152016,L,1665.0,5,PIT,,207753,35
0,70,68,Miikka Kiprusoff,0,162,2.35465,Kiprusoff,22,11.0,0,8462147,0,0.92058,1878.0,20112012,L,2040.0,4,CGY,,247680,35
0,63,63,Patrick Roy,0,137,2.18117,Roy,15,,20,8451033,0,0.92048,1586.0,20022003,L,1723.0,5,COL,13.0,226117,35
1,57,57,Jimmy Howard,0,119,2.12482,Howard,17,4.0,6,8470657,1,0.92045,1377.0,20112012,L,1496.0,6,DET,,201617,35
1,59,55,Tim Thomas,0,132,2.3631,Thomas,19,1.0,0,8460703,1,0.92043,1527.0,20112012,L,1659.0,5,BOS,,201091,35
